"45"	"3309.38"
"79"	"3790.57"
"96"	"3924.23"
"23"	"4042.65"
"99"	"4172.29"
"75"	"4178.50"
"36"	"4278.05"
"98"	"4297.26"
"47"	"4316.30"
"77"	"4327.73"
"13"	"4367.62"
"48"	"4384.33"
"49"	"4394.60"
"94"	"4475.57"
"67"	"4505.79"
"50"	"4517.27"
"78"	"4524.51"
"5"	"4561.07"
"57"	"4628.40"
"83"	"4635.80"
"91"	"4642.26"
"74"	"4647.13"
"84"	"4652.94"
"3"	"4659.63"
"12"	"4664.59"
"66"	"4681.92"
"56"	"4701.02"
"21"	"4707.41"
"80"	"4727.86"
"14"	"4735.03"
"37"	"4735.20"
"7"	"4755.07"
"44"	"4756.89"
"31"	"4765.05"
"82"	"4812.49"
"4"	"4815.05"
"10"	"4819.70"
"88"	"4830.55"
"20"	"4836.86"
"89"	"4851.48"
"95"	"4876.84"
"38"	"4898.46"
"76"	"4904.21"
"86"	"4908.81"
"27"	"4915.89"
"18"	"4921.27"
"53"	"4945.30"
"1"	"4958.60"
"51"	"4975.22"
"16"	"4979.06"
"30"	"4990.72"
"28"	"5000.71"
"22"	"5019.45"
"29"	"5032.53"
"17"	"5032.68"
"60"	"5040.71"
"25"	"5057.61"
"19"	"5059.43"
"81"	"5112.71"
"69"	"5123.01"
"65"	"5140.35"
"11"	"5152.29"
"35"	"5155.42"
"40"	"5186.43"
"87"	"5206.40"
"52"	"5245.06"
"26"	"5250.40"
"62"	"5253.32"
"33"	"5254.66"
"24"	"5259.92"
"93"	"5265.75"
"64"	"5288.69"
"90"	"5290.41"
"55"	"5298.09"
"9"	"5322.65"
"34"	"5330.80"
"72"	"5337.44"
"70"	"5368.25"
"43"	"5368.83"
"92"	"5379.28"
"6"	"5397.88"
"15"	"5413.51"
"63"	"5415.15"
"58"	"5437.73"
"32"	"5496.05"
"61"	"5497.48"
"85"	"5503.43"
"8"	"5517.24"
"0"	"5524.95"
"41"	"5637.62"
"59"	"5642.89"
"42"	"5696.84"
"46"	"5963.11"
"97"	"5977.19"
"2"	"5994.59"
"71"	"5995.66"
"54"	"6065.39"
"39"	"6193.11"
"73"	"6206.20"
"68"	"6375.45"
